Heuristica,N,M,Replicação,Tempo,Iterações,Valor,Parametro
searchLocalBestImprovement,31,10,1,0.00287823,37,teste,N/A
searchLocalBestImprovement,31,10,2,0.00279032,70,teste,N/A
searchLocalBestImprovement,31,10,3,0.00312029,109,teste,N/A
searchLocalBestImprovement,31,10,4,0.00265578,140,teste,N/A
searchLocalBestImprovement,31,10,5,0.00272107,171,teste,N/A
searchLocalBestImprovement,31,10,6,0.00267457,206,teste,N/A
searchLocalBestImprovement,31,10,7,0.00343432,247,teste,N/A
searchLocalBestImprovement,31,10,8,0.00351262,289,teste,N/A
searchLocalBestImprovement,31,10,9,0.00255475,322,teste,N/A
searchLocalBestImprovement,31,10,10,0.00244134,353,teste,N/A
searchLocalBestImprovement,100,10,1,0.024033,453,teste,N/A
searchLocalBestImprovement,100,10,2,0.0314236,584,teste,N/A
searchLocalBestImprovement,100,10,3,0.024775,688,teste,N/A
searchLocalBestImprovement,100,10,4,0.0359803,818,teste,N/A
searchLocalBestImprovement,100,10,5,0.0246149,918,teste,N/A
searchLocalBestImprovement,100,10,6,0.0276755,1034,teste,N/A
searchLocalBestImprovement,100,10,7,0.0308696,1150,teste,N/A
searchLocalBestImprovement,100,10,8,0.0242768,1251,teste,N/A
searchLocalBestImprovement,100,10,9,0.0403868,1421,teste,N/A
searchLocalBestImprovement,100,10,10,0.0249406,1523,teste,N/A
searchLocalBestImprovement,89,20,1,0.0591492,1612,teste,N/A
searchLocalBestImprovement,89,20,2,0.0806273,1737,teste,N/A
searchLocalBestImprovement,89,20,3,0.0784666,1830,teste,N/A
searchLocalBestImprovement,89,20,4,0.0603912,1925,teste,N/A
searchLocalBestImprovement,89,20,5,0.0610923,2021,teste,N/A
searchLocalBestImprovement,89,20,6,0.0831496,2142,teste,N/A
searchLocalBestImprovement,89,20,7,0.0607066,2235,teste,N/A
searchLocalBestImprovement,89,20,8,0.067834,2334,teste,N/A
searchLocalBestImprovement,89,20,9,0.0758088,2452,teste,N/A
searchLocalBestImprovement,89,20,10,0.0626022,2550,teste,N/A
searchLocalBestImprovement,400,20,1,1.23534,2963,teste,N/A
searchLocalBestImprovement,400,20,2,1.15064,3374,teste,N/A
searchLocalBestImprovement,400,20,3,1.18479,3774,teste,N/A
searchLocalBestImprovement,400,20,4,1.28333,4178,teste,N/A
searchLocalBestImprovement,400,20,5,1.13808,4578,teste,N/A
searchLocalBestImprovement,400,20,6,1.20037,4978,teste,N/A
searchLocalBestImprovement,400,20,7,1.33728,5398,teste,N/A
searchLocalBestImprovement,400,20,8,1.67027,5803,teste,N/A
searchLocalBestImprovement,400,20,9,1.2085,6203,teste,N/A
searchLocalBestImprovement,400,20,10,1.18577,6627,teste,N/A
searchLocalBestImprovement,353,50,1,5.11145,7017,teste,N/A
searchLocalBestImprovement,353,50,2,5.40594,7420,teste,N/A
searchLocalBestImprovement,353,50,3,6.66619,7923,teste,N/A
searchLocalBestImprovement,353,50,4,5.42742,8343,teste,N/A
searchLocalBestImprovement,353,50,5,6.04614,8800,teste,N/A
searchLocalBestImprovement,353,50,6,4.88935,9174,teste,N/A
searchLocalBestImprovement,353,50,7,4.9452,9541,teste,N/A
searchLocalBestImprovement,353,50,8,7.23024,10025,teste,N/A
searchLocalBestImprovement,353,50,9,5.52344,10428,teste,N/A
searchLocalBestImprovement,353,50,10,5.52139,10851,teste,N/A
searchLocalBestImprovement,2500,50,1,0.0877428,10851,teste,N/A
searchLocalBestImprovement,2500,50,2,0.112487,10851,teste,N/A
searchLocalBestImprovement,2500,50,3,0.101605,10851,teste,N/A
searchLocalBestImprovement,2500,50,4,0.167738,10851,teste,N/A
searchLocalBestImprovement,2500,50,5,0.122003,10851,teste,N/A
searchLocalBestImprovement,2500,50,6,0.160476,10851,teste,N/A
searchLocalBestImprovement,2500,50,7,0.0874736,10851,teste,N/A
searchLocalBestImprovement,2500,50,8,0.0885904,10851,teste,N/A
searchLocalBestImprovement,2500,50,9,0.0887599,10851,teste,N/A
searchLocalBestImprovement,2500,50,10,0.094615,10851,teste,N/A
