Machine,TaskProcessingTime
1,4
1,11
1,7
1,4
1,1
1,1
1,3
1,6
1,5
1,8
1,12
1,10
1,13
1,14
1,5
1,3
1,13
1,6
1,12
1,7
1,13
1,13
1,2
1,14
1,6
1,7
1,10
1,6
1,6
1,14
1,11
1,13
1,6
1,4
1,3
1,7
1,9
1,10
1,14
1,9
1,11
1,13
1,9
1,11
1,13
1,8
2,28
2,27
2,26
2,26
2,25
2,25
2,24
2,24
2,24
2,23
2,22
2,22
2,21
2,20
2,19
2,19
3,59
3,43
3,26
3,25
3,24
3,24
3,23
3,22
3,20
3,20
3,18
3,17
3,16
3,16
3,15
3,15
4,44
4,42
4,39
4,38
4,37
4,36
4,35
4,34
4,33
4,16
4,16
4,14
5,39
5,37
5,36
5,35
5,35
5,31
5,30
5,30
5,29
5,29
5,20
5,17
5,17
6,41
6,41
6,39
6,38
6,36
6,33
6,32
6,32
6,24
6,23
6,22
6,16
7,39
7,39
7,38
7,38
7,36
7,35
7,32
7,30
7,28
7,25
7,19
7,31
8,38
8,37
8,69
8,35
8,35
8,26
8,21
8,19
8,36
8,15
8,15
8,29
9,68
9,80
9,67
9,80
9,67
9,29
10,67
10,67
10,66
10,33
10,65
10,34
10,15
11,59
11,65
11,59
11,79
11,65
11,59
12,78
12,64
12,57
12,78
12,64
12,57
13,77
13,64
13,56
13,77
13,56
13,64
14,56
14,51
14,64
14,51
14,56
14,63
15,51
15,56
15,63
15,76
15,50
15,56
15,32
16,63
16,50
16,63
16,55
16,50
16,45
17,63
17,55
17,82
17,76
17,49
18,62
18,55
18,74
18,48
18,62
18,45
18,38
19,82
19,54
19,74
19,48
19,62
20,74
20,54
20,48
20,62
20,53
20,30
21,83
21,73
21,47
21,62
21,46
21,45
21,43
22,72
22,83
22,73
22,47
22,53
22,43
23,88
23,62
23,91
23,43
23,41
24,47
24,73
24,82
24,53
24,71
25,81
25,62
25,46
25,73
25,53
26,61
26,91
26,91
26,71
27,72
27,86
27,72
27,81
27,53
28,86
28,61
28,96
28,45
28,43
28,39
29,93
29,95
29,90
29,71
29,52
30,72
30,90
30,90
30,81
30,61
31,97
31,88
31,85
31,71
31,40
32,86
32,92
32,45
32,61
32,52
32,41
33,84
33,98
33,92
33,42
34,92
34,93
34,82
34,45
35,80
35,85
35,84
35,61
35,52
36,82
36,92
36,87
36,92
37,79
37,71
37,80
37,89
37,43
38,99
38,70
38,60
38,82
38,87
39,52
39,91
39,98
39,77
40,88
40,89
40,96
40,51
41,89
41,80
41,88
41,59
42,85
42,84
42,76
42,80
42,71
43,99
43,93
43,84
43,79
44,100
44,100
44,77
44,87
45,87
45,69
45,88
45,96
46,100
46,96
46,99
46,59
47,79
47,51
47,96
47,77
47,76
48,100
48,92
48,69
48,91
49,98
49,86
49,99
49,82
50,84
50,93
50,94
50,84
