Machine,TaskProcessingTime
1,3
1,7
1,6
1,2
1,2
1,9
1,1
1,7
1,8
1,9
1,6
1,5
1,2
1,8
1,4
1,13
1,13
1,2
1,8
1,9
1,8
1,3
1,7
1,9
1,2
1,9
1,7
1,2
1,8
1,7
1,10
1,6
1,4
1,12
1,12
1,1
1,12
1,3
1,8
1,13
1,7
1,13
1,6
1,4
1,8
1,11
1,5
1,9
1,8
1,5
1,12
1,6
1,5
1,5
1,2
1,10
1,3
1,12
1,6
1,3
1,9
1,3
1,3
1,9
1,11
1,3
1,2
1,3
1,10
1,10
1,2
1,1
1,9
1,5
1,2
1,11
1,13
1,11
1,2
1,13
1,9
1,4
1,8
1,5
1,6
1,13
1,2
1,1
1,8
1,5
1,7
1,3
1,8
1,9
1,8
1,12
1,1
1,6
1,8
1,6
1,12
1,5
1,9
1,3
1,13
1,12
1,5
1,10
1,1
1,4
1,12
1,1
1,13
1,2
1,10
1,9
1,12
1,9
1,13
1,7
1,1
1,10
1,13
1,1
1,1
1,9
1,3
1,3
1,2
1,12
1,12
1,1
1,7
1,11
1,9
1,13
1,10
1,3
1,10
1,3
1,5
1,9
1,8
1,12
1,9
1,14
1,7
1,6
1,11
1,8
1,7
1,11
1,5
1,2
1,6
1,14
1,4
1,12
1,5
1,3
1,3
1,1
1,10
1,14
1,3
1,6
1,10
1,10
1,1
1,1
1,1
1,5
1,10
1,9
1,13
1,13
1,9
1,4
1,4
1,11
1,8
1,8
1,7
1,12
1,5
1,1
1,7
1,2
1,10
1,3
1,9
1,14
1,7
1,5
1,6
1,6
1,10
1,10
1,3
1,8
1,14
1,4
1,6
1,8
1,8
1,3
1,2
1,3
1,6
1,2
1,13
1,5
1,1
1,10
1,3
1,12
1,9
1,9
1,14
1,10
1,11
1,14
1,11
1,4
1,2
1,11
1,7
1,4
1,4
1,14
1,11
1,10
1,1
1,3
1,6
1,4
1,9
1,12
1,2
1,10
1,4
1,3
1,4
1,13
1,8
1,7
1,3
1,8
1,13
1,13
1,13
1,7
1,11
1,14
1,7
1,9
1,4
1,13
1,1
1,3
1,3
1,10
1,8
1,2
1,3
1,5
1,8
1,4
1,7
1,2
1,4
1,7
1,5
1,10
1,5
1,4
1,3
1,8
1,1
1,14
1,8
1,8
1,10
1,8
1,2
1,8
1,3
1,11
1,10
1,14
1,14
1,1
1,12
1,4
1,10
1,4
1,7
1,1
1,13
1,5
1,10
1,13
1,13
1,13
1,8
1,7
1,7
1,3
1,9
1,9
1,5
1,7
1,8
1,8
1,14
1,11
1,12
1,11
1,7
1,7
1,14
1,5
1,5
1,3
1,8
1,5
1,12
1,12
1,8
1,11
1,5
1,12
1,14
1,13
1,9
1,4
1,2
1,9
1,11
1,2
1,12
1,3
1,8
1,8
1,10
1,14
1,4
1,13
1,8
2,23
2,23
2,23
2,23
2,23
2,22
2,22
2,22
2,22
2,22
2,22
2,22
2,22
2,22
2,22
2,22
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,20
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,16
2,16
2,16
2,16
2,16
2,16
2,16
2,16
2,16
2,16
2,16
2,16
2,16
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,15
2,14
2,14
2,14
2,14
2,14
2,14
3,28
3,28
3,28
3,28
3,28
3,28
3,27
3,27
3,27
3,27
3,27
3,27
3,26
3,26
3,26
3,26
3,26
3,26
3,26
3,26
3,26
3,25
3,25
3,25
3,25
3,25
3,25
3,25
3,25
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,23
3,23
3,23
3,23
3,23
3,23
3,23
3,22
3,22
3,22
3,22
3,22
3,22
3,22
3,21
3,21
3,21
3,21
3,21
3,21
3,21
3,20
3,20
3,20
3,19
3,19
3,19
3,19
3,19
3,19
3,19
3,18
3,18
3,18
3,18
3,18
3,17
3,17
3,17
3,17
3,17
3,17
3,28
3,28
3,27
3,16
3,27
3,16
3,16
3,27
3,27
3,26
3,26
3,16
3,16
3,16
3,26
3,15
3,26
3,15
3,15
3,15
3,25
3,15
3,25
3,15
3,15
3,15
3,14
3,14
3,14
4,31
4,30
4,30
4,29
4,29
4,29
4,29
4,28
4,28
4,28
4,28
4,28
4,27
4,27
4,27
4,27
4,26
4,26
4,26
4,26
4,25
4,25
4,25
4,25
4,25
4,24
4,24
4,24
4,24
4,23
4,22
4,21
4,21
4,20
4,20
4,20
4,20
4,20
4,20
4,19
4,32
4,32
4,32
4,32
4,32
4,32
4,31
4,31
4,31
4,31
4,18
4,18
4,30
4,30
4,30
4,30
4,29
4,18
4,29
4,29
4,18
4,29
4,29
4,17
4,29
4,29
4,29
4,29
4,28
4,28
4,17
4,28
4,28
4,28
4,27
4,27
4,27
4,16
4,27
4,27
4,16
4,16
4,26
4,26
4,15
4,32
4,25
4,25
4,25
4,25
4,15
4,30
4,15
4,24
4,24
4,24
4,24
4,23
4,23
5,35
5,34
5,33
5,33
5,33
5,32
5,32
5,31
5,31
5,29
5,29
5,29
5,29
5,24
5,24
5,23
5,37
5,37
5,36
5,36
5,36
5,36
5,35
5,35
5,34
5,20
5,34
5,34
5,33
5,33
5,33
5,33
5,19
5,32
5,19
5,32
5,32
5,19
5,38
5,31
5,31
5,38
5,38
5,37
5,29
5,38
5,29
5,36
5,37
5,36
5,28
5,28
5,28
5,35
5,35
5,16
5,36
5,36
5,36
5,34
5,34
5,16
5,34
5,26
5,35
5,26
5,32
5,25
5,25
5,30
5,25
5,29
5,24
5,29
5,33
5,24
5,33
5,32
5,29
5,24
5,24
5,32
6,37
6,31
6,39
6,39
6,38
6,38
6,38
6,38
6,38
6,37
6,37
6,37
6,37
6,36
6,36
6,36
6,34
6,34
6,33
6,39
6,32
6,39
6,32
6,39
6,32
6,32
6,32
6,18
6,38
6,18
6,30
6,37
6,37
6,29
6,36
6,38
6,38
6,38
6,38
6,35
6,35
6,37
6,28
6,16
6,35
6,36
6,36
6,27
6,36
6,34
6,27
6,36
6,34
6,36
6,33
6,33
6,31
6,31
6,31
6,25
6,31
6,34
6,34
6,34
6,34
6,30
6,25
6,25
6,33
6,24
6,33
6,33
6,29
6,24
6,29
6,28
6,28
7,41
7,40
7,39
7,38
7,38
7,37
7,36
7,35
7,41
7,34
7,40
7,39
7,39
7,42
7,42
7,31
7,38
7,38
7,41
7,30
7,41
7,30
7,38
7,30
7,41
7,37
7,30
7,37
7,30
7,37
7,40
7,40
7,40
7,40
7,40
7,40
7,39
7,36
7,38
7,36
7,28
7,28
7,28
7,36
7,36
7,36
7,36
7,27
7,26
7,32
7,26
7,35
7,32
7,32
7,35
7,35
7,26
7,42
7,34
7,25
7,40
7,33
7,41
7,40
7,33
7,29
7,40
7,29
7,23
7,32
7,39
8,44
8,44
8,44
8,41
8,40
8,37
8,37
8,44
8,44
8,43
8,36
8,42
8,42
8,35
8,41
8,41
8,40
8,33
8,33
8,40
8,39
8,37
8,41
8,39
8,45
8,39
8,45
8,37
8,36
8,38
8,37
8,28
8,44
8,35
8,44
8,35
8,42
8,42
8,34
8,34
8,27
8,44
8,33
8,36
8,42
8,26
8,33
8,26
8,32
8,35
8,41
8,41
8,25
8,45
8,43
8,42
8,30
8,40
8,45
8,30
8,41
8,33
8,40
8,38
8,32
8,38
9,41
9,40
9,38
9,43
9,42
9,35
9,46
9,41
9,41
9,41
9,41
9,41
9,44
9,44
9,40
9,43
9,43
9,43
9,38
9,38
9,38
9,41
9,37
9,37
9,45
9,44
9,37
9,37
9,46
9,35
9,44
9,45
9,45
9,43
9,42
9,34
9,42
9,45
9,34
9,42
9,44
9,44
9,44
9,36
9,44
9,41
9,35
9,46
9,35
9,46
9,32
9,35
9,42
9,42
9,42
9,45
9,39
9,39
9,38
9,38
9,23
9,42
10,43
10,48
10,46
10,46
10,44
10,44
10,43
10,48
10,48
10,47
10,30
10,29
10,48
10,48
10,47
10,47
10,47
10,37
10,36
10,37
10,46
10,46
10,46
10,44
10,43
10,48
10,43
10,48
10,42
10,45
10,44
10,42
10,47
10,33
10,44
10,44
10,41
10,46
10,43
10,41
10,34
10,25
10,45
10,47
10,41
10,44
10,41
10,40
10,40
10,46
10,40
10,40
10,40
10,47
10,40
10,42
10,32
10,40
10,42
11,51
11,50
11,50
11,49
11,46
11,44
11,50
11,48
11,50
11,47
11,41
11,49
11,51
11,48
11,49
11,44
11,37
11,45
11,48
11,42
11,34
11,47
11,52
11,52
11,51
11,50
11,52
11,46
11,51
11,44
11,50
11,46
11,50
11,50
11,49
11,41
11,43
11,52
11,50
11,43
11,43
11,45
11,48
11,52
11,52
11,41
11,48
11,50
11,46
11,42
11,39
11,40
11,42
11,47
12,48
12,53
12,50
12,49
12,52
12,48
12,51
12,54
12,54
12,41
12,48
12,51
12,48
12,50
12,47
12,47
12,53
12,52
12,52
12,52
12,46
12,54
12,54
12,54
12,54
12,43
12,47
12,51
12,53
12,45
12,53
12,50
12,47
12,50
12,54
12,51
12,43
12,34
12,40
12,30
12,46
12,44
12,41
12,43
12,50
12,50
12,47
12,50
12,47
12,47
12,47
12,45
12,29
13,55
13,44
13,53
13,55
13,54
13,55
13,45
13,48
13,44
13,46
13,49
13,52
13,52
13,48
13,45
13,51
13,53
13,45
13,51
13,53
13,54
13,54
13,53
13,46
13,53
13,46
13,46
13,49
13,56
13,34
13,50
13,49
13,47
13,42
13,55
13,40
13,52
13,52
13,52
13,52
13,44
13,44
13,54
13,50
13,50
13,50
13,46
13,43
13,41
13,46
13,38
13,53
14,53
14,57
14,57
14,47
14,55
14,53
14,53
14,48
14,54
14,54
14,49
14,58
14,48
14,54
14,37
14,58
14,45
14,53
14,47
14,47
14,44
14,53
14,50
14,52
14,50
14,50
14,58
14,44
14,56
14,40
14,40
14,52
14,48
14,47
14,34
14,54
14,47
14,56
14,56
14,53
14,50
14,49
14,55
14,46
14,56
14,45
14,42
14,53
14,52
14,49
14,38
15,51
15,49
15,57
15,59
15,53
15,53
15,52
15,55
15,58
15,57
15,48
15,56
15,44
15,55
15,49
15,44
15,53
15,51
15,52
15,56
15,51
15,50
15,60
15,57
15,57
15,60
15,42
15,60
15,49
15,59
15,51
15,51
15,58
15,53
15,58
15,57
15,57
15,57
15,57
15,43
15,56
15,56
15,56
15,45
15,49
15,42
15,49
16,53
16,51
16,59
16,59
16,58
16,61
16,60
16,57
16,59
16,58
16,45
16,62
16,51
16,61
16,60
16,55
16,48
16,58
16,57
16,61
16,60
16,59
16,59
16,59
16,61
16,56
16,62
16,57
16,51
16,51
16,53
16,56
16,59
16,55
16,55
16,55
16,60
16,48
16,58
16,48
16,57
16,56
16,62
16,53
16,61
17,61
17,61
17,60
17,52
17,55
17,60
17,54
17,52
17,62
17,62
17,58
17,58
17,61
17,50
17,62
17,52
17,60
17,60
17,58
17,62
17,53
17,61
17,60
17,57
17,60
17,60
17,56
17,53
17,63
17,55
17,61
17,58
17,52
17,54
17,59
17,59
17,59
17,58
17,44
17,58
17,61
17,53
17,58
17,56
18,59
18,62
18,56
18,49
18,61
18,56
18,66
18,61
18,65
18,62
18,58
18,58
18,62
18,48
18,63
18,52
18,62
18,62
18,64
18,61
18,62
18,58
18,58
18,58
18,58
18,62
18,62
18,66
18,59
18,55
18,45
18,65
18,65
18,58
18,48
18,58
18,63
18,63
18,63
18,55
18,59
18,54
19,64
19,66
19,46
19,64
19,61
19,64
19,61
19,63
19,54
19,62
19,52
19,66
19,54
19,51
19,67
19,66
19,61
19,60
19,53
19,64
19,56
19,67
19,61
19,67
19,60
19,66
19,66
19,63
19,66
19,66
19,65
19,59
19,64
19,54
19,59
19,63
19,63
19,56
19,58
19,58
19,58
19,46
20,57
20,58
20,55
20,65
20,66
20,64
20,59
20,54
20,67
20,62
