Machine,TaskProcessingTime
1,22
1,1
1,29
1,1
1,28
1,10
1,24
1,8
1,14
1,28
1,18
1,27
1,5
1,4
1,8
1,23
1,11
1,27
1,22
1,8
1,13
1,6
1,31
1,3
1,31
1,21
1,20
1,27
1,8
1,7
1,55
2,46
2,80
2,80
2,79
2,79
2,68
2,38
2,36
2,2
3,76
3,75
3,73
3,71
3,70
3,65
3,100
4,70
4,69
4,67
4,100
4,97
4,96
4,47
5,74
5,59
5,56
5,55
5,37
5,83
5,77
5,94
6,92
6,47
6,46
6,34
6,89
6,99
6,43
6,90
7,78
7,95
7,46
7,37
7,35
7,31
7,92
7,48
7,83
8,95
8,77
8,84
8,94
8,64
8,87
8,42
9,94
9,92
9,77
9,67
9,20
9,78
9,74
9,22
10,92
10,96
10,77
10,97
10,84
10,100
