Heuristica,N,M,Replicação,Tempo,Iterações,Valor,Parametro
searchLocalBestImprovement,31,10,1,0.00254572,33,teste,N/A
searchLocalBestImprovement,31,10,2,0.00330279,75,teste,N/A
searchLocalBestImprovement,31,10,3,0.00284613,106,teste,N/A
searchLocalBestImprovement,31,10,4,0.00240625,137,teste,N/A
searchLocalBestImprovement,31,10,5,0.00319218,168,teste,N/A
searchLocalBestImprovement,31,10,6,0.00335584,205,teste,N/A
searchLocalBestImprovement,31,10,7,0.00240213,236,teste,N/A
searchLocalBestImprovement,31,10,8,0.00245826,267,teste,N/A
searchLocalBestImprovement,31,10,9,0.0035668,310,teste,N/A
searchLocalBestImprovement,31,10,10,0.00294142,344,teste,N/A
searchLocalBestImprovement,100,10,1,0.0245606,446,teste,N/A
searchLocalBestImprovement,100,10,2,0.0259319,552,teste,N/A
searchLocalBestImprovement,100,10,3,0.0363522,703,teste,N/A
searchLocalBestImprovement,100,10,4,0.0255401,803,teste,N/A
searchLocalBestImprovement,100,10,5,0.0272319,905,teste,N/A
searchLocalBestImprovement,100,10,6,0.0303834,1030,teste,N/A
searchLocalBestImprovement,100,10,7,0.0304973,1153,teste,N/A
searchLocalBestImprovement,100,10,8,0.0244178,1255,teste,N/A
searchLocalBestImprovement,100,10,9,0.0258522,1363,teste,N/A
searchLocalBestImprovement,100,10,10,0.0257412,1468,teste,N/A
searchLocalBestImprovement,89,20,1,0.0739847,1580,teste,N/A
searchLocalBestImprovement,89,20,2,0.0837641,1707,teste,N/A
searchLocalBestImprovement,89,20,3,0.0685863,1804,teste,N/A
searchLocalBestImprovement,89,20,4,0.0819727,1927,teste,N/A
searchLocalBestImprovement,89,20,5,0.081831,2039,teste,N/A
searchLocalBestImprovement,89,20,6,0.0679251,2128,teste,N/A
searchLocalBestImprovement,89,20,7,0.0819947,2253,teste,N/A
searchLocalBestImprovement,89,20,8,0.0621148,2346,teste,N/A
searchLocalBestImprovement,89,20,9,0.0661462,2439,teste,N/A
searchLocalBestImprovement,89,20,10,0.13759,2554,teste,N/A
searchLocalBestImprovement,400,20,1,1.24309,2959,teste,N/A
searchLocalBestImprovement,400,20,2,1.49175,3453,teste,N/A
searchLocalBestImprovement,400,20,3,1.39974,3887,teste,N/A
searchLocalBestImprovement,400,20,4,1.33002,4335,teste,N/A
searchLocalBestImprovement,400,20,5,1.24501,4737,teste,N/A
searchLocalBestImprovement,400,20,6,1.22711,5137,teste,N/A
searchLocalBestImprovement,400,20,7,1.43541,5539,teste,N/A
searchLocalBestImprovement,400,20,8,1.25912,5952,teste,N/A
searchLocalBestImprovement,400,20,9,1.33763,6369,teste,N/A
searchLocalBestImprovement,400,20,10,1.22834,6771,teste,N/A
searchLocalBestImprovement,353,50,1,5.8168,7197,teste,N/A
searchLocalBestImprovement,353,50,2,5.1247,7576,teste,N/A
searchLocalBestImprovement,353,50,3,5.74818,8000,teste,N/A
searchLocalBestImprovement,353,50,4,6.09054,8444,teste,N/A
searchLocalBestImprovement,353,50,5,6.12785,8902,teste,N/A
searchLocalBestImprovement,353,50,6,6.4294,9374,teste,N/A
searchLocalBestImprovement,353,50,7,5.66202,9789,teste,N/A
searchLocalBestImprovement,353,50,8,6.15522,10205,teste,N/A
searchLocalBestImprovement,353,50,9,6.67957,10683,teste,N/A
searchLocalBestImprovement,353,50,10,7.65005,11264,teste,N/A
searchLocalBestImprovement,2500,50,1,0.110103,11264,teste,N/A
searchLocalBestImprovement,2500,50,2,0.134653,11264,teste,N/A
searchLocalBestImprovement,2500,50,3,0.0877782,11264,teste,N/A
searchLocalBestImprovement,2500,50,4,0.0885321,11264,teste,N/A
searchLocalBestImprovement,2500,50,5,0.091324,11264,teste,N/A
searchLocalBestImprovement,2500,50,6,0.0914691,11264,teste,N/A
searchLocalBestImprovement,2500,50,7,0.0897098,11264,teste,N/A
searchLocalBestImprovement,2500,50,8,0.0885662,11264,teste,N/A
searchLocalBestImprovement,2500,50,9,0.0889906,11264,teste,N/A
searchLocalBestImprovement,2500,50,10,0.122919,11264,teste,N/A
