Heuristica,N,M,Replicação,Tempo,Iterações,Valor,Parametro
searchLocalBestImprovement,31,10,1,0.000178523,37,177,0.100000
searchLocalBestImprovement,31,10,2,0.000168995,37,186,0.100000
searchLocalBestImprovement,31,10,3,0.000178282,38,205,0.100000
searchLocalBestImprovement,31,10,4,0.000164196,36,190,0.100000
searchLocalBestImprovement,31,10,5,0.000166921,36,198,0.100000
searchLocalBestImprovement,31,10,6,0.00019317,40,231,0.100000
searchLocalBestImprovement,31,10,7,0.0001877,38,194,0.100000
searchLocalBestImprovement,31,10,8,0.000154578,32,174,0.100000
searchLocalBestImprovement,31,10,9,0.000179675,37,161,0.100000
searchLocalBestImprovement,31,10,10,0.000184003,37,183,0.100000
searchLocalBestImprovement,100,10,1,0.000536821,120,522,0.100000
searchLocalBestImprovement,100,10,2,0.000596412,129,553,0.100000
searchLocalBestImprovement,100,10,3,0.00056841,126,533,0.100000
searchLocalBestImprovement,100,10,4,0.000541259,121,523,0.100000
searchLocalBestImprovement,100,10,5,0.00052557,118,495,0.100000
searchLocalBestImprovement,100,10,6,0.000538494,122,516,0.100000
searchLocalBestImprovement,100,10,7,0.000554955,124,487,0.100000
searchLocalBestImprovement,100,10,8,0.000585091,126,522,0.100000
searchLocalBestImprovement,100,10,9,0.00056304,126,558,0.100000
searchLocalBestImprovement,100,10,10,0.000573369,130,556,0.100000
searchLocalBestImprovement,89,20,1,0.00115365,149,263,0.100000
searchLocalBestImprovement,89,20,2,0.000834897,146,251,0.100000
searchLocalBestImprovement,89,20,3,0.000825089,145,255,0.100000
searchLocalBestImprovement,89,20,4,0.000853111,153,252,0.100000
searchLocalBestImprovement,89,20,5,0.0011684,148,261,0.100000
searchLocalBestImprovement,89,20,6,0.00117141,148,247,0.100000
searchLocalBestImprovement,89,20,7,0.00111604,147,267,0.100000
searchLocalBestImprovement,89,20,8,0.00117377,148,240,0.100000
searchLocalBestImprovement,89,20,9,0.00267047,153,260,0.100000
searchLocalBestImprovement,89,20,10,0.00230237,151,234,0.100000
searchLocalBestImprovement,400,20,1,0.00633685,717,1087,0.100000
searchLocalBestImprovement,400,20,2,0.00576883,701,1058,0.100000
searchLocalBestImprovement,400,20,3,0.00439907,695,998,0.100000
searchLocalBestImprovement,400,20,4,0.00447783,701,1027,0.100000
searchLocalBestImprovement,400,20,5,0.00406356,702,1045,0.100000
searchLocalBestImprovement,400,20,6,0.00454274,713,1057,0.100000
searchLocalBestImprovement,400,20,7,0.00409676,708,1035,0.100000
searchLocalBestImprovement,400,20,8,0.00454603,718,1083,0.100000
searchLocalBestImprovement,400,20,9,0.00464507,709,1024,0.100000
searchLocalBestImprovement,400,20,10,0.00450755,712,1014,0.100000
searchLocalBestImprovement,353,50,1,0.0114023,863,401,0.100000
searchLocalBestImprovement,353,50,2,0.0113623,825,386,0.100000
searchLocalBestImprovement,353,50,3,0.0105833,839,389,0.100000
searchLocalBestImprovement,353,50,4,0.010891,864,414,0.100000
searchLocalBestImprovement,353,50,5,0.0104261,828,386,0.100000
searchLocalBestImprovement,353,50,6,0.0114557,855,403,0.100000
searchLocalBestImprovement,353,50,7,0.0108358,860,418,0.100000
searchLocalBestImprovement,353,50,8,0.0109598,859,404,0.100000
searchLocalBestImprovement,353,50,9,0.0121456,852,409,0.100000
searchLocalBestImprovement,353,50,10,0.0109827,850,382,0.100000
searchLocalBestImprovement,2500,50,1,0.114761,6079,2517,0.100000
searchLocalBestImprovement,2500,50,2,0.121859,6150,2489,0.100000
searchLocalBestImprovement,2500,50,3,0.120915,6085,2498,0.100000
searchLocalBestImprovement,2500,50,4,0.103587,6226,2629,0.100000
searchLocalBestImprovement,2500,50,5,0.0967637,6163,2561,0.100000
searchLocalBestImprovement,2500,50,6,0.0998023,6249,2588,0.100000
searchLocalBestImprovement,2500,50,7,0.0988963,6224,2555,0.100000
searchLocalBestImprovement,2500,50,8,0.108109,6182,2538,0.100000
searchLocalBestImprovement,2500,50,9,0.0976797,6198,2529,0.100000
searchLocalBestImprovement,2500,50,10,0.0985647,6144,2551,0.100000
