Heuristica,N,M,Replicação,Tempo,Iterações,Valor,Parametro
searchLocalIterative,31,10,1,0.0219553,108,186,0.100000
searchLocalIterative,31,10,2,0.0159207,70,154,0.100000
searchLocalIterative,31,10,3,0.0134641,64,181,0.100000
searchLocalIterative,31,10,4,0.018799,78,193,0.100000
searchLocalIterative,31,10,5,0.0230178,82,183,0.100000
searchLocalIterative,31,10,6,0.0129396,43,187,0.100000
searchLocalIterative,31,10,7,0.013257,96,144,0.100000
searchLocalIterative,31,10,8,0.013002,74,142,0.100000
searchLocalIterative,31,10,9,0.0160124,86,175,0.100000
searchLocalIterative,31,10,10,0.0342973,73,151,0.100000
searchLocalIterative,100,10,1,0.0272889,172,546,0.100000
searchLocalIterative,100,10,2,0.0602376,224,493,0.100000
searchLocalIterative,100,10,3,0.0380811,200,521,0.100000
searchLocalIterative,100,10,4,0.040258,199,519,0.100000
searchLocalIterative,100,10,5,0.0373069,235,531,0.100000
searchLocalIterative,100,10,6,0.0268376,165,512,0.100000
searchLocalIterative,100,10,7,0.0278944,182,517,0.100000
searchLocalIterative,100,10,8,0.0551167,222,520,0.100000
searchLocalIterative,100,10,9,0.050945,193,552,0.100000
searchLocalIterative,100,10,10,0.0424085,186,516,0.100000
searchLocalIterative,89,20,1,0.081623,238,249,0.100000
searchLocalIterative,89,20,2,0.191428,327,225,0.100000
searchLocalIterative,89,20,3,0.220299,273,235,0.100000
searchLocalIterative,89,20,4,0.0997442,333,234,0.100000
searchLocalIterative,89,20,5,0.0815896,222,233,0.100000
searchLocalIterative,89,20,6,0.106575,283,225,0.100000
searchLocalIterative,89,20,7,0.144847,283,254,0.100000
searchLocalIterative,89,20,8,0.0473143,219,253,0.100000
searchLocalIterative,89,20,9,0.0476599,226,231,0.100000
searchLocalIterative,89,20,10,0.0715257,246,236,0.100000
searchLocalIterative,400,20,1,0.177189,812,1002,0.100000
searchLocalIterative,400,20,2,0.113497,817,1015,0.100000
searchLocalIterative,400,20,3,0.248855,871,1049,0.100000
searchLocalIterative,400,20,4,0.16012,989,1055,0.100000
searchLocalIterative,400,20,5,0.116773,1026,1017,0.100000
searchLocalIterative,400,20,6,0.260228,1137,1013,0.100000
searchLocalIterative,400,20,7,0.195411,868,1024,0.100000
searchLocalIterative,400,20,8,0.106859,866,1035,0.100000
searchLocalIterative,400,20,9,0.216848,923,1008,0.100000
searchLocalIterative,400,20,10,0.297724,1162,1010,0.100000
searchLocalIterative,353,50,1,0.708288,1113,381,0.100000
searchLocalIterative,353,50,2,0.542157,1003,364,0.100000
searchLocalIterative,353,50,3,0.279917,933,363,0.100000
searchLocalIterative,353,50,4,0.366429,950,379,0.100000
searchLocalIterative,353,50,5,0.499004,1127,381,0.100000
searchLocalIterative,353,50,6,0.631653,1093,377,0.100000
searchLocalIterative,353,50,7,0.629868,1156,375,0.100000
searchLocalIterative,353,50,8,0.322275,1012,385,0.100000
searchLocalIterative,353,50,9,0.290663,1121,372,0.100000
searchLocalIterative,353,50,10,0.592057,1284,381,0.100000
searchLocalIterative,2500,50,1,1.28052,7763,2557,0.100000
searchLocalIterative,2500,50,2,1.59784,7741,2559,0.100000
searchLocalIterative,2500,50,3,1.7742,7452,2554,0.100000
searchLocalIterative,2500,50,4,1.11316,6808,2557,0.100000
searchLocalIterative,2500,50,5,1.87735,7150,2557,0.100000
searchLocalIterative,2500,50,6,1.7402,6865,2591,0.100000
searchLocalIterative,2500,50,7,1.74391,6530,2548,0.100000
searchLocalIterative,2500,50,8,1.12316,6500,2537,0.100000
searchLocalIterative,2500,50,9,1.18301,6553,2568,0.100000
searchLocalIterative,2500,50,10,1.33384,7166,2605,0.100000
