Heuristica,N,M,Replicação,Tempo,Iterações,Valor,Parametro
searchLocalBestImprovement,31,10,1,9.8323e-05,10,174,1.5
searchLocalBestImprovement,31,10,2,0.000105677,10,169,1.5
searchLocalBestImprovement,31,10,3,8.597e-05,10,183,1.5
searchLocalBestImprovement,31,10,4,8.7794e-05,10,192,1.5
searchLocalBestImprovement,31,10,5,0.000124893,10,181,1.5
searchLocalBestImprovement,31,10,6,9.4236e-05,10,149,1.5
searchLocalBestImprovement,31,10,7,0.000102361,10,196,1.5
searchLocalBestImprovement,31,10,8,8.9988e-05,10,183,1.5
searchLocalBestImprovement,31,10,9,9.2974e-05,10,190,1.5
searchLocalBestImprovement,31,10,10,9.117e-05,10,218,1.5
searchLocalBestImprovement,100,10,1,0.000233786,10,512,2
searchLocalBestImprovement,100,10,2,0.000216193,10,483,2
searchLocalBestImprovement,100,10,3,0.000248303,10,546,2
searchLocalBestImprovement,100,10,4,0.000260926,10,528,2
searchLocalBestImprovement,100,10,5,0.000260295,10,492,2
searchLocalBestImprovement,100,10,6,0.000254886,10,575,2
searchLocalBestImprovement,100,10,7,0.000217124,10,556,2
searchLocalBestImprovement,100,10,8,0.000225551,10,526,2
searchLocalBestImprovement,100,10,9,0.000380667,10,550,2
searchLocalBestImprovement,100,10,10,0.000285122,10,479,2
searchLocalBestImprovement,89,20,1,0.000344593,10,262,1.5
searchLocalBestImprovement,89,20,2,0.000535128,10,248,1.5
searchLocalBestImprovement,89,20,3,0.000538835,10,273,1.5
searchLocalBestImprovement,89,20,4,0.000513909,10,269,1.5
searchLocalBestImprovement,89,20,5,0.000569512,10,253,1.5
searchLocalBestImprovement,89,20,6,0.000555336,10,267,1.5
searchLocalBestImprovement,89,20,7,0.000378355,10,269,1.5
searchLocalBestImprovement,89,20,8,0.000353229,10,258,1.5
searchLocalBestImprovement,89,20,9,0.000533805,10,255,1.5
searchLocalBestImprovement,89,20,10,0.000688254,10,256,1.5
searchLocalBestImprovement,400,20,1,0.001971,10,1047,2
searchLocalBestImprovement,400,20,2,0.00150865,10,1066,2
searchLocalBestImprovement,400,20,3,0.00183264,10,1050,2
searchLocalBestImprovement,400,20,4,0.00205849,10,1055,2
searchLocalBestImprovement,400,20,5,0.00163713,10,1025,2
searchLocalBestImprovement,400,20,6,0.00184781,10,1027,2
searchLocalBestImprovement,400,20,7,0.00212172,10,1015,2
searchLocalBestImprovement,400,20,8,0.00184386,10,1009,2
searchLocalBestImprovement,400,20,9,0.00181429,10,996,2
searchLocalBestImprovement,400,20,10,0.00199142,10,1023,2
searchLocalBestImprovement,353,50,1,0.00287327,10,387,1.5
searchLocalBestImprovement,353,50,2,0.00309006,10,401,1.5
searchLocalBestImprovement,353,50,3,0.00284363,10,388,1.5
searchLocalBestImprovement,353,50,4,0.00296971,10,381,1.5
searchLocalBestImprovement,353,50,5,0.00304184,10,403,1.5
searchLocalBestImprovement,353,50,6,0.00293579,10,390,1.5
searchLocalBestImprovement,353,50,7,0.00379962,10,382,1.5
searchLocalBestImprovement,353,50,8,0.00357813,10,375,1.5
searchLocalBestImprovement,353,50,9,0.00266393,10,380,1.5
searchLocalBestImprovement,353,50,10,0.0038113,10,399,1.5
searchLocalBestImprovement,2500,50,1,0.0365509,10,2537,2
searchLocalBestImprovement,2500,50,2,0.027722,10,2494,2
searchLocalBestImprovement,2500,50,3,0.0279176,10,2516,2
searchLocalBestImprovement,2500,50,4,0.0327227,10,2482,2
searchLocalBestImprovement,2500,50,5,0.0399626,10,2571,2
searchLocalBestImprovement,2500,50,6,0.0426007,10,2602,2
searchLocalBestImprovement,2500,50,7,0.0478658,10,2595,2
searchLocalBestImprovement,2500,50,8,0.0357497,10,2520,2
searchLocalBestImprovement,2500,50,9,0.0301433,10,2586,2
searchLocalBestImprovement,2500,50,10,0.0260925,10,2547,2
